-4.32,0.511111,8.6,8.3,4.3
-4.32,0.555556,10.3,11.2,6.8
-4.32,0.466667,8.2,8.9,6.1
-4.32,0.6,12.7,17.8,17.7
-4.32,0.577778,11.4,13.8,10.2
-4.32,0,0,0,0
-4.32,0.422222,6.7,6.3,3.3
-4.32,0.555556,10.4,11.6,7.4
-4.32,0.6,12.4,15.8,12.2
-4.32,0.533333,9.2,8.8,4.2
-4.32,0.488889,7.7,6.7,2.9
-4.32,0.644444,14.8,22.3,22.7
-4.32,0.555556,10.4,11.5,7.1
-4.32,0.488889,8.2,7.8,3.7
-4.32,0.6,12.3,15.3,11.2
-4.32,0.511111,8.4,7.6,3.4
-4.32,0.466667,8.1,8.3,4.8
-4.32,0.6,12.4,16,13.1
-4.32,0.555556,10.2,10.8,6.2
-4.32,0.533333,10.1,12.6,10.7
-4.32,0.577778,11.1,12.4,7.6
-4.32,0.444444,7,6,2.5
-4.32,0.555556,10.3,11.2,6.8
-4.32,0.511111,8.5,8,4
-4.32,0.4,6.9,7.2,4.3
-4.32,0.444444,7.2,6.7,3.4
-4.32,0.511111,8.9,9.2,5.3
-4.32,0.511111,9.9,11.7,8.3
-4.32,0.533333,9.5,10.1,6.4
-4.32,0.511111,9,9.9,6.8
-4.32,0.577778,11.2,12.8,8.2
-4.32,0.555556,10.2,10.8,6.2
-4.32,0,0,0,0
-4.32,0.555556,10.3,11.2,6.8
-4.32,0.466667,7.9,7.6,3.9
-4.32,0.533333,9.5,9.9,5.7
-4.32,0.444444,7.1,6.3,2.8
-4.32,0.488889,8.6,9.3,5.8
-4.32,0.533333,10.7,12.9,9.1
-4.32,0.533333,9.6,10.4,6.7
-4.32,0.577778,11.5,14.4,11.7
-4.32,0.488889,8.7,8.8,4.7
-4.32,0.533333,9.3,9.2,4.8
-4.32,0.555556,10.1,10.4,5.6
-4.32,0.488889,8.9,9.5,5.6
-4.32,0.555556,10.5,12.1,8.4
-4.32,0.533333,11.1,14.5,11.6
-4.32,0.466667,7,5.8,2.4
-4.32,0.444444,7.1,6.3,2.8
-4.32,0.444444,7.6,7.9,4.7
-4.32,0.488889,7.7,6.7,2.9
-4.32,0,0,0,0
-4.32,0.533333,9.7,10.4,6.1
-4.32,0.466667,7.3,6.7,3.4
-4.32,0.533333,10.6,12.4,8.1
-4.32,0.577778,11.1,12.4,7.6
-4.32,0.511111,8.5,8,4
-4.32,0.488889,7.9,7.4,3.8
-4.32,0.444444,7.5,7.6,4.4
-4.32,0.533333,9.7,10.8,7.3
-4.32,0.555556,10.1,10.4,5.6
-4.32,0.533333,9.5,9.9,5.7
-4.32,0.511111,8.7,8.7,4.9
-4.32,0.488889,7.7,6.7,2.9
-4.32,0.577778,11.2,12.8,8.2
