-3.3,0.00165829,0.055,0,0
-3.3,0.00135678,0.035,0,0
-3.3,0.00190955,0.115,0,0
-3.3,0.00231156,0.155,0,0
-3.3,0.00100503,0.03,0,0
-3.3,0.00160804,0.06,0,0
-3.3,0.00165829,0.06,0,0
-3.3,0.00165829,0.06,0,0
-3.3,0.00120603,0.035,0,0
-3.3,0.00150754,0.07,0,0
-3.25,0.00266332,0.2,0,0
-3.25,0.00221106,0.16,0,0
-3.25,0.00190955,0.12,1,0.00833333
-3.25,0.00155779,0.06,0,0
-3.25,0.00115578,0.025,0,0
-3.25,0.00110553,0.01,0,0
-3.25,0.0019598,0.1,0,0
-3.25,0.00236181,0.11,0,0
-3.25,0.00145729,0.065,0,0
-3.25,0.00246231,0.195,0,0
-3.2,0.0019598,0.09,0,0
-3.2,0.00231156,0.1,0,0
-3.2,0.00226131,0.12,0,0
-3.2,0.00241206,0.145,0,0
-3.2,0.00266332,0.265,0,0
-3.2,0.00211055,0.13,0,0
-3.2,0.0019598,0.115,0,0
-3.2,0.00145729,0.04,0,0
-3.2,0.0020603,0.09,0,0
-3.2,0.0020603,0.085,0,0
-3.15,0.00236181,0.195,1,0.005
-3.15,0.0021608,0.125,0,0
-3.15,0.00211055,0.095,0,0
-3.15,0.0021608,0.175,0,0
-3.15,0.00231156,0.11,0,0
-3.15,0.00231156,0.15,0,0
-3.15,0.00180905,0.055,0,0
-3.15,0.00301508,0.225,0,0
-3.15,0.00211055,0.09,0,0
-3.15,0.00236181,0.14,0,0
-3.1,0.0019598,0.075,0,0
-3.1,0.00286432,0.165,0,0
-3.1,0.00231156,0.155,0,0
-3.1,0.00231156,0.13,1,0.00833333
-3.1,0.00231156,0.15,0,0
-3.1,0.00175879,0.045,0,0
-3.1,0.00221106,0.105,0,0
-3.1,0.00301508,0.27,0,0
-3.1,0.00281407,0.22,0,0
-3.1,0.00296482,0.245,0,0
-3.05,0.00341709,0.29,1,0.0108333
-3.05,0.00326633,0.27,0,0
-3.05,0.00306533,0.145,0,0
-3.05,0.00301508,0.2,0,0
-3.05,0.00281407,0.255,0,0
-3.05,0.00276382,0.15,0,0
-3.05,0.00271357,0.23,0,0
-3.05,0.0038191,0.385,1,0.003
-3.05,0.00326633,0.26,0,0
-3.05,0.00291457,0.255,0,0
-3,0.00407035,0.35,0,0
-3,0.0038191,0.35,0,0
-3,0.00341709,0.31,0,0
-3,0.00331658,0.26,0,0
-3,0.00452261,0.46,0,0
-3,0.00366834,0.335,0,0
-3,0.00517588,0.605,0,0
-3,0.00261307,0.19,0,0
-3,0.00462312,0.56,0,0
-3,0.00306533,0.24,0,0
-2.95,0.00427136,0.4,1,0.00333333
-2.95,0.00467337,0.75,1,0.006
-2.95,0.00366834,0.34,1,0.007
-2.95,0.00457286,0.415,0,0
-2.95,0.00427136,0.435,0,0
-2.95,0.00487437,0.65,2,0.0141667
-2.95,0.00407035,0.435,0,0
-2.95,0.00407035,0.365,0,0
-2.95,0.00361809,0.325,0,0
-2.95,0.00497487,0.655,0,0
-2.9,0.00507538,0.635,2,0.0075
-2.9,0.00648241,1.17,0,0
-2.9,0.00577889,0.775,0,0
-2.9,0.00512563,0.56,0,0
-2.9,0.00407035,0.395,0,0
-2.9,0.00648241,1.16,3,0.0213333
-2.9,0.00557789,0.88,0,0
-2.9,0.00497487,0.62,0,0
-2.9,0.00487437,0.555,0,0
-2.9,0.00507538,0.69,1,0.00666667
-2.85,0.00668342,1.16,2,0.0125
-2.85,0.00457286,0.475,0,0
-2.85,0.00633166,1.06,0,0
-2.85,0.00698492,1.205,2,0.0055
-2.85,0.00698492,1.33,1,0.00833333
-2.85,0.00613065,1.125,3,0.0121429
-2.85,0.00502513,0.7,2,0.0125
-2.85,0.00542714,0.72,0,0
-2.85,0.00809045,1.725,0,0
-2.85,0.00638191,1.105,2,0.00466667
-2.8,0.00753769,1.46,1,0.002
-2.8,0.00914573,2.335,3,0.00982143
-2.8,0.00884422,2.16,1,0.00557143
-2.8,0.00874372,1.77,2,0.00933333
-2.8,0.00809045,1.675,4,0.0230238
-2.8,0.00713568,1.33,0,0
-2.8,0.00909548,2.335,3,0.00988889
-2.8,0.00944724,2.375,2,0.00140079
-2.8,0.0079397,1.56,2,0.00607143
-2.8,0.0061809,0.945,0,0
-2.75,0.0113568,3.385,4,0.00819048
-2.75,0.0121608,3.85,4,0.00793651
-2.75,0.0114573,3.18,1,0.0012381
-2.75,0.0129648,4.485,9,0.0249444
-2.75,0.0128141,3.825,5,0.0125278
-2.75,0.0153266,5.975,11,0.0148941
-2.75,0.0126633,4.12,11,0.0311783
-2.75,0.0171357,7.315,11,0.0288616
-2.75,0.0188945,9.005,27,0.0320357
-2.75,0.0313568,25.01,99,0.0651934
-2.7,0.189447,710.075,8934,0.189044
-2.7,0.198442,778.25,10345,0.199903
-2.7,0.194623,748.72,9871,0.197368
-2.7,0.190754,718.545,9079,0.189703
-2.7,0.188191,697.085,8657,0.186099
-2.7,0.188492,701.5,8856,0.189054
-2.7,0.194171,745.755,9730,0.196431
-2.7,0.189698,708.94,8978,0.189725
-2.7,0.192261,725.24,9280,0.191931
-2.7,0.192161,732.785,9585,0.196255
-2.65,0.217538,932.805,13537,0.217771
-2.65,0.210905,877.275,12297,0.210201
-2.65,0.20995,866.87,11952,0.20704
-2.65,0.210402,872.935,12183,0.20933
-2.65,0.20809,853.315,11744,0.206128
-2.65,0.217839,933.305,13458,0.216333
-2.65,0.210955,874.585,12064,0.207009
-2.65,0.207085,845.165,11639,0.206928
