2.5,0.990835
2.5,0.990775
2.5,0.990517
2.5,0.990809
2.5,0.990753
2.5,0.991049
2.5,0.990853
2.5,0.990811
2.5,0.990895
2.5,0.990695
2.495,0.990883
2.495,0.990613
2.495,0.990951
2.495,0.990809
2.495,0.990655
2.495,0.990527
2.495,0.990651
2.495,0.990767
2.495,0.990751
2.495,0.990733
2.49,0.990597
2.49,0.990509
2.49,0.990739
2.49,0.990452
2.49,0.990919
2.49,0.990729
2.49,0.990721
2.49,0.990713
2.49,0.990364
2.49,0.990689
2.485,0.990595
2.485,0.990701
2.485,0.990322
2.485,0.990452
2.485,0.99045
2.485,0.990513
2.485,0.990631
2.485,0.990482
2.485,0.990535
2.485,0.990474
2.48,0.990228
2.48,0.990292
2.48,0.990328
2.48,0.990456
2.48,0.99017
2.48,0.990394
2.48,0.990685
2.48,0.990422
2.48,0.990402
2.48,0.990336
2.475,0.99035
2.475,0.99027
2.475,0.99042
2.475,0.99038
2.475,0.99025
2.475,0.990494
2.475,0.990214
2.475,0.99011
2.475,0.990274
2.475,0.99022
2.47,0.990292
2.47,0.990288
2.47,0.99033
2.47,0.99013
2.47,0.990034
2.47,0.990016
2.47,0.990164
2.47,0.990204
2.47,0.99037
2.47,0.990252
2.465,0.98983
2.465,0.990314
2.465,0.990006
2.465,0.99019
2.465,0.990182
2.465,0.990026
2.465,0.990042
2.465,0.990246
2.465,0.990402
2.465,0.990046
2.46,0.989906
2.46,0.989982
2.46,0.990144
2.46,0.990068
2.46,0.990106
2.46,0.990052
2.46,0.989708
2.46,0.990022
2.46,0.989968
2.46,0.989884
2.455,0.989798
2.455,0.98976
2.455,0.990192
2.455,0.990064
2.455,0.99003
2.455,0.989982
2.455,0.98988
2.455,0.989802
2.455,0.989938
2.455,0.990106
2.45,0.989724
2.45,0.989686
2.45,0.989764
2.45,0.989888
2.45,0.989918
2.45,0.98995
2.45,0.989598
2.45,0.989616
2.45,0.989834
2.45,0.98984
2.445,0.989592
2.445,0.989604
2.445,0.989638
2.445,0.989688
2.445,0.989636
2.445,0.989616
2.445,0.989409
2.445,0.989798
2.445,0.989936
2.445,0.98974
2.44,0.989449
2.44,0.989612
2.44,0.989624
2.44,0.989856
